,,,,,,,,,,,,,,,,,,,,
,,DONE,478,,,Set Lachman and pivot shift at 1+,,,,,,,,,,,,,,
,,TODO,17,,,https://plotdigitizer.com/app,,,,,,,,,,,,,,
,,% COMPLETED,96.57%,,,,,,,,,,,,,,,,,
,id,,study,download,view,screening,subgroup,data_type,outcome,ni,xi,sdi,a,q1,m,q3,b,yi,sei,
93,22,☐,"Cruz et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/cruz_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/cruz_2022.pdf,Included,hamstring,dichotomous,graft rupture,,,,,,,,,,,
94,22,☐,"Cruz et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/cruz_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/cruz_2022.pdf,Included,tibialis,dichotomous,graft rupture,,,,,,,,,,,
101,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,patellar,continuous,tegner,32,5.77,1.94,1,,6,,9,,,
102,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,patellar,continuous,lysholm,32,89.96,13.06,46,,95,,100,,,
103,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,patellar,continuous,instrumental laxity,32,2.29,3.99,-5,,2,,11.5,,,
104,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,patellar,dichotomous,lachman,32,15,5.16,,,,,,,,
105,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,hamstring,continuous,tegner,34,6.39,1.43,3,,6.5,,9,,,
106,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,hamstring,continuous,lysholm,34,86.79,11.71,51,,90,,100,,,
107,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,hamstring,continuous,instrumental laxity,34,2.47,3.47,-4,,2.25,,10.5,,,
108,23,☑,"Ejerhed et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ejerhed_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ejerhed_2003.pdf,Included,hamstring,dichotomous,lachman,34,14,4.23,,,,,,,,
109,25,☑,"Eriksson et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/eriksson_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/eriksson_2006.pdf,Included,patellar,continuous,instrumental laxity,42,0.95,0.91,,,,,,,,
110,25,☑,"Eriksson et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/eriksson_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/eriksson_2006.pdf,Included,patellar,dichotomous,pivot shift,42,2,0.41,,,,,,,,
111,25,☑,"Eriksson et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/eriksson_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/eriksson_2006.pdf,Included,hamstring,continuous,instrumental laxity,47,1.10,0.95,,,,,,,,
112,25,☑,"Eriksson et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/eriksson_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/eriksson_2006.pdf,Included,hamstring,dichotomous,pivot shift,47,9,1.71,,,,,,,,
,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Excluded,patellar,continuous,ikdc,,,,,,,,,,,
114,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Included,patellar,continuous,instrumental laxity,27,0.50,1.00,,,,,,,,
115,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Included,patellar,dichotomous,pivot shift,27,0,0.10,,,,,,,,
116,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Included,patellar,dichotomous,lachman,27,1,0.30,,,,,,,,
,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Excluded,hamstring,continuous,ikdc,,,,,,,,,,,
118,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Included,hamstring,continuous,instrumental laxity,21,1.10,1.20,,,,,,,,
119,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Included,hamstring,dichotomous,pivot shift,21,5,1.58,,,,,,,,
120,26,☑,"Feller & Webster, 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/feller_webster_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/feller_webster_2003.pdf,Included,hamstring,dichotomous,lachman,21,0,0.11,,,,,,,,
,28,☑,"Gerber et al., 2007",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gerber_2007.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gerber_2007.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
,28,☑,"Gerber et al., 2007",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gerber_2007.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gerber_2007.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Excluded,patellar,continuous,tegner,,,,,,,,,,,
,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Excluded,patellar,continuous,lysholm,,,,,,,,,,,
125,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Included,patellar,continuous,instrumental laxity,41,1.40,1.80,,,,,,,,
126,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Included,patellar,dichotomous,lachman,41,1,0.24,,,,,,,,
,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Excluded,hamstring,continuous,tegner,,,,,,,,,,,
,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Excluded,hamstring,continuous,lysholm,,,,,,,,,,,
129,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Included,hamstring,continuous,instrumental laxity,36,1.40,1.40,,,,,,,,
130,30,☑,"Gifstad et al., 2013",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gifstad_2013.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gifstad_2013.pdf,Included,hamstring,dichotomous,lachman,36,1,0.26,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,patellar,continuous,ikdc,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,patellar,continuous,tegner,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,patellar,continuous,lysholm,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,hamstring,continuous,ikdc,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,hamstring,continuous,tegner,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,hamstring,continuous,lysholm,,,,,,,,,,,
,31,☑,"Gobbi & Francisco, 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/gobbi_francisco_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/gobbi_francisco_2006.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
139,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,patellar,continuous,ikdc,31,88.75,9.27,,,,,,,,
140,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,patellar,continuous,lysholm,31,89.87,9.17,,,,,,,,
141,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,patellar,dichotomous,pivot shift,31,2,0.48,,,,,,,,
142,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,patellar,dichotomous,lachman,31,2,0.48,,,,,,,,
143,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,hamstring,continuous,ikdc,31,91.00,9.07,,,,,,,,
144,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,hamstring,continuous,lysholm,31,91.26,9.36,,,,,,,,
145,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,hamstring,dichotomous,pivot shift,31,3,0.70,,,,,,,,
146,32,☑,"Guglielmetti et al., 2021",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/guglielmetti_2021.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/guglielmetti_2021.pdf,Included,hamstring,dichotomous,lachman,31,3,0.70,,,,,,,,
,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Excluded,patellar,continuous,ikdc,,,,,,,,,,,
148,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,patellar,continuous,tegner,37,5.89,2.12,1,,6,,10,,,
,,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,patellar,continuous,lysholm,37,89.11,15.53,34,,95,,100,,,
150,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,patellar,continuous,instrumental laxity,37,1.50,3.00,,,,,,,,
151,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,patellar,dichotomous,pivot shift,37,0,0.08,,,,,,,,
152,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,patellar,dichotomous,lachman,37,0,0.08,,,,,,,,
,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Excluded,hamstring,continuous,ikdc,,,,,,,,,,,
,,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,hamstring,continuous,lysholm,37,95.00,15.53,34,,95,,100,,,
155,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,hamstring,continuous,tegner,37,6.00,1.41,3,,6,,9,,,
156,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,hamstring,continuous,instrumental laxity,37,1.20,3.90,,,,,,,,
157,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,hamstring,dichotomous,pivot shift,37,1,0.25,,,,,,,,
158,33,☑,"Harilainen et al., 2006",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/harilainen_2006.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/harilainen_2006.pdf,Included,hamstring,dichotomous,lachman,37,1,0.25,,,,,,,,
159,34,☑,"Heijne & Werner, 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/heijne_werner_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/heijne_werner_2010.pdf,Included,patellar,continuous,tegner,30,6.64,2.21,1,,7,,10,,,
,34,☑,"Heijne & Werner, 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/heijne_werner_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/heijne_werner_2010.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
161,34,☑,"Heijne & Werner, 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/heijne_werner_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/heijne_werner_2010.pdf,Included,patellar,dichotomous,pivot shift,30,3,0.71,,,,,,,,
162,34,☑,"Heijne & Werner, 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/heijne_werner_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/heijne_werner_2010.pdf,Included,hamstring,continuous,tegner,29,5.00,1.48,2,,5,,8,,,
,34,☑,"Heijne & Werner, 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/heijne_werner_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/heijne_werner_2010.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
164,34,☑,"Heijne & Werner, 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/heijne_werner_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/heijne_werner_2010.pdf,Included,hamstring,dichotomous,pivot shift,29,8,2.18,,,,,,,,
165,35,☑,"Holm et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/holm_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/holm_2010.pdf,Included,patellar,continuous,instrumental laxity,28,3.00,3.20,,,,,,,,
166,35,☑,"Holm et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/holm_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/holm_2010.pdf,Included,patellar,continuous,lysholm,28,84.20,15.40,,,,,,,,
167,35,☑,"Holm et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/holm_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/holm_2010.pdf,Included,hamstring,continuous,instrumental laxity,29,2.00,3.50,,,,,,,,
168,35,☑,"Holm et al., 2010",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/holm_2010.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/holm_2010.pdf,Included,hamstring,continuous,lysholm,29,86.10,15.10,,,,,,,,
169,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,hamstring,continuous,ikdc,26,83.70,12.70,,,,,,,,
170,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,hamstring,continuous,lysholm,26,83.50,17.40,,,,,,,,
171,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,hamstring,continuous,instrumental laxity,26,0.20,2.20,,,,,,,,
172,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,hamstring,dichotomous,pivot shift,26,0,0.10,,,,,,,,
173,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,quadriceps,continuous,ikdc,23,89.30,12.20,,,,,,,,
174,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,quadriceps,continuous,lysholm,23,90.40,11.90,,,,,,,,
175,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,quadriceps,continuous,instrumental laxity,23,0.70,1.10,,,,,,,,
176,36,☑,"Horstmann et al., 2022",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/horstmann_2022.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/horstmann_2022.pdf,Included,quadriceps,dichotomous,pivot shift,23,0,0.10,,,,,,,,
177,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Included,patellar,dichotomous,lachman,40,5,0.99,,,,,,,,
178,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Included,patellar,continuous,lysholm,40,91.60,3.94,79,,,,96,,,
,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Excluded,patellar,continuous,instrumental laxity,,,,,,,,,,,
180,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Included,patellar,dichotomous,pivot shift,40,5,0.99,,,,,,,,
181,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Included,hamstring,dichotomous,lachman,46,7,1.30,,,,,,,,
182,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Included,hamstring,continuous,lysholm,46,92.70,3.62,81,,,,97,,,
,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Excluded,hamstring,continuous,instrumental laxity,,,,,,,,,,,
184,37,☑,"Ibrahim et al., 2005",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/ibrahim_2005.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/ibrahim_2005.pdf,Included,hamstring,dichotomous,pivot shift,45,8,1.54,,,,,,,,
185,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Included,patellar,continuous,ikdc,45,83.20,2.80,,,,,,,,
186,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Included,patellar,continuous,lysholm,45,95.80,2.40,,,,,,,,
,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Excluded,patellar,dichotomous,pivot shift,,,,,,,,,,,Did not report as separate subgroups.
,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Excluded,patellar,dichotomous,lachman,,,,,,,,,,,Did not report as separate subgroups.
189,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Included,hamstring,continuous,ikdc,45,82.78,2.80,,,,,,,,
190,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Included,hamstring,continuous,lysholm,45,94.00,3.60,,,,,,,,
,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Excluded,hamstring,dichotomous,pivot shift,,,,,,,,,,,Did not report as separate subgroups.
,38,☑,"Iliopoulos et al., 2017",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/iliopoulos_2017.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/iliopoulos_2017.pdf,Excluded,hamstring,dichotomous,lachman,,,,,,,,,,,Did not report as separate subgroups.
193,41,☑,"Jansson et al., 2003",https://raw.githubusercontent.com/d-wkim/phd/refs/heads/main/data/pdf/jansson_2003.pdf,https://github.com/d-wkim/phd/blob/main/data/pdf/jansson_2003.pdf,Included,patellar,dichotomous,lachman,43,8,1.59,,,,,,,,
